Options:
Model:                           Discrete: Independent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-indep
Summary:                         False
Seed                             3866554334
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
30	-69.872885	0.016898	0.023101	0.504385	0.104949	0.221969	0.221969	0.278031	0.278031	
31	-69.184527	0.016063	0.022527	0.725646	0.150869	0.227733	0.227733	0.272267	0.272267	
32	-69.062926	0.017398	0.023232	0.456481	0.095583	0.227430	0.227430	0.272570	0.272570	
33	-69.069008	0.015676	0.022381	0.707646	0.147182	0.206584	0.206584	0.293416	0.293416	
34	-69.824814	0.114215	0.068978	1.194149	0.247859	0.250000	0.250000	0.250000	0.250000	
35	-69.822110	0.014612	0.021904	0.698827	0.145409	0.215863	0.215863	0.284137	0.284137	
36	-69.533626	0.016331	0.021998	0.528466	0.109811	0.223597	0.223597	0.276403	0.276403	
37	-69.243744	0.015339	0.022205	0.179795	0.038201	0.200172	0.200172	0.299828	0.299829	
38	-68.912812	0.019658	0.024130	3.111440	0.645725	0.216601	0.216601	0.283399	0.283399	
39	-69.495347	0.018626	0.022811	1.600375	0.332172	0.202492	0.202492	0.297508	0.297508	
40	-69.290173	0.021957	0.024294	4.624081	0.959760	0.225502	0.225502	0.274498	0.274498	
41	-69.419172	0.023363	0.024067	1.271035	0.263793	0.237100	0.237100	0.262900	0.262900	
42	-69.907123	0.022061	0.024504	0.914397	0.189805	0.230531	0.230531	0.269469	0.269469	
43	-68.879411	0.022456	0.023328	0.733354	0.153063	0.233030	0.233030	0.266970	0.266970	
44	-69.034355	0.018172	0.022125	0.535433	0.111400	0.225320	0.225320	0.274680	0.274680	
45	-69.346772	0.020750	0.022415	0.565673	0.117420	0.229945	0.229945	0.270055	0.270055	
46	-69.653323	0.018042	0.022224	0.522885	0.109477	0.212936	0.212936	0.287064	0.287064	
47	-69.828673	0.094530	0.057624	0.486174	0.101270	0.249995	0.249995	0.250005	0.250005	
48	-68.829988	0.017466	0.022204	0.493523	0.102909	0.224748	0.224748	0.275252	0.275252	
49	-69.236894	0.018721	0.023673	0.356400	0.074775	0.228899	0.228899	0.271101	0.271101	
50	-69.866512	0.017086	0.024001	0.411185	0.085921	0.218200	0.218200	0.281800	0.281800	
51	-70.319768	2.164015	1.298411	0.722605	0.149988	0.250000	0.250000	0.250000	0.250000	
52	-69.604594	0.013288	0.021302	0.983441	0.204086	0.220084	0.220084	0.279916	0.279916	
53	-70.317073	0.405287	0.243458	1.152719	0.239245	0.250000	0.250000	0.250000	0.250000	
54	-70.319951	4.928808	2.957284	3.222578	0.668837	0.250000	0.250000	0.250000	0.250000	
55	-68.372363	0.014578	0.020567	0.353229	0.073602	0.224097	0.224097	0.275903	0.275903	
56	-68.902296	0.017264	0.021462	3.667099	0.761093	0.231294	0.231294	0.268706	0.268706	
57	-68.245442	0.010992	0.020584	0.557574	0.115745	0.196316	0.196316	0.303684	0.303684	
58	-69.017782	0.017138	0.022203	0.406927	0.085043	0.220566	0.220566	0.279434	0.279434	
59	-69.217711	0.014084	0.021537	4.619510	0.958804	0.199355	0.199355	0.300645	0.300645	
60	-68.384714	0.014375	0.021427	0.750823	0.155872	0.211301	0.211301	0.288699	0.288699	
61	-68.795398	0.017852	0.021929	0.629931	0.131610	0.233176	0.233176	0.266824	0.266824	
62	-67.985157	0.014230	0.020454	0.439550	0.091822	0.216968	0.216968	0.283032	0.283032	
63	-68.320539	0.012861	0.021335	0.521158	0.108575	0.209831	0.209831	0.290169	0.290169	
64	-69.319953	0.016873	0.022034	6.206754	1.288061	0.221537	0.221537	0.278463	0.278463	
65	-69.148045	0.019566	0.022233	0.462709	0.096904	0.225461	0.225461	0.274539	0.274539	
66	-67.712815	0.012530	0.019407	0.605280	0.125849	0.220631	0.220631	0.279369	0.279369	
67	-68.293117	0.012893	0.020395	3.042685	0.631503	0.215041	0.215041	0.284959	0.284959	
68	-68.931144	0.016378	0.021405	3.742184	0.776819	0.223029	0.223029	0.276971	0.276971	
69	-69.636028	0.019806	0.023222	1.979706	0.410959	0.239671	0.239671	0.260329	0.260329	
70	-68.808472	0.018354	0.022531	3.574344	0.741852	0.235563	0.235563	0.264437	0.264437	
71	-69.068348	0.016473	0.021562	1.438930	0.298625	0.230459	0.230459	0.269541	0.269541	
72	-68.853721	0.016086	0.021251	0.629915	0.130876	0.235349	0.235349	0.264651	0.264651	
73	-69.680720	0.016430	0.021679	0.374205	0.078487	0.229209	0.229209	0.270791	0.270791	
74	-69.833818	0.018518	0.022336	0.976170	0.202462	0.228260	0.228260	0.271740	0.271740	
75	-69.625505	0.015670	0.021967	1.694886	0.351806	0.223380	0.223380	0.276620	0.276620	
76	-69.782044	0.015381	0.020883	1.418292	0.294341	0.218638	0.218638	0.281362	0.281362	
77	-69.261543	0.014512	0.020992	5.397580	1.120314	0.219119	0.219119	0.280881	0.280881	
78	-68.464284	0.014035	0.020547	0.406310	0.085324	0.219348	0.219348	0.280652	0.280652	
79	-68.164246	0.014501	0.021279	0.634585	0.132534	0.212515	0.212515	0.287485	0.287485	
80	-68.229867	0.013792	0.021201	0.952121	0.197656	0.203959	0.203959	0.296041	0.296041	
81	-68.967249	0.014368	0.020735	1.079246	0.224010	0.209329	0.209329	0.290671	0.290671	
82	-69.022543	0.013873	0.020252	0.434915	0.090334	0.209386	0.209386	0.290614	0.290614	
83	-67.465065	0.012445	0.020387	0.403693	0.084105	0.205080	0.205080	0.294920	0.294920	
84	-69.328349	0.017088	0.020793	0.818366	0.169908	0.231742	0.231742	0.268258	0.268258	
85	-69.640878	0.017746	0.020751	2.174297	0.451265	0.228368	0.228368	0.271632	0.271632	
86	-69.845516	0.018511	0.021934	2.429398	0.504370	0.232324	0.232324	0.267676	0.267676	
87	-69.812206	0.018084	0.022358	0.226583	0.047831	0.231134	0.231134	0.268866	0.268866	
88	-69.016510	0.015790	0.021334	3.052454	0.633510	0.221545	0.221545	0.278455	0.278455	
89	-69.789230	0.021054	0.023603	0.487892	0.101903	0.238044	0.238044	0.261956	0.261956	
90	-69.402508	0.022674	0.022702	0.476178	0.099142	0.239538	0.239538	0.260462	0.260462	
91	-68.856228	0.016484	0.021136	0.340577	0.071145	0.220287	0.220287	0.279713	0.279713	
92	-68.584214	0.015495	0.021262	4.237657	0.879423	0.218739	0.218739	0.281261	0.281261	
93	-68.807904	0.017762	0.022240	0.686729	0.143291	0.225031	0.225031	0.274969	0.274969	
94	-69.160925	0.022097	0.022545	6.281516	1.303657	0.233377	0.233377	0.266623	0.266623	
95	-69.191691	0.021904	0.023057	2.597017	0.539120	0.232096	0.232096	0.267904	0.267904	
96	-69.043436	0.016404	0.021871	6.561404	1.361706	0.221572	0.221572	0.278428	0.278428	
97	-68.554589	0.013998	0.020527	1.529480	0.317441	0.225988	0.225988	0.274012	0.274012	
98	-68.935929	0.017476	0.022655	7.884703	1.636522	0.222757	0.222757	0.277243	0.277243	
99	-68.659197	0.016140	0.022092	2.449462	0.508379	0.224932	0.224932	0.275068	0.275068	
100	-69.224468	0.014348	0.021559	2.698385	0.560339	0.226631	0.226631	0.273369	0.273369	
101	-69.637044	0.016486	0.022180	1.706348	0.354153	0.231179	0.231179	0.268821	0.268821	
102	-68.494325	0.013380	0.020873	0.423827	0.088043	0.220626	0.220626	0.279374	0.279374	
103	-68.223523	0.012962	0.021030	3.299543	0.684857	0.205029	0.205029	0.294971	0.294971	
104	-68.068597	0.015642	0.022052	0.658196	0.136704	0.217639	0.217639	0.282361	0.282361	
105	-67.868866	0.013257	0.021663	0.551242	0.114587	0.214687	0.214687	0.285313	0.285313	
106	-68.222798	0.011351	0.018976	0.454610	0.094523	0.204226	0.204226	0.295774	0.295774	
107	-68.681217	0.017699	0.020923	0.437747	0.091074	0.238567	0.238567	0.261433	0.261433	
108	-68.631013	0.014639	0.021054	1.580502	0.328105	0.223542	0.223542	0.276458	0.276458	
109	-68.882531	0.014440	0.020527	0.413501	0.086023	0.222168	0.222168	0.277832	0.277832	
110	-68.960146	0.016546	0.021127	2.927419	0.607545	0.239797	0.239797	0.260203	0.260203	
111	-70.137818	0.019525	0.022244	2.251750	0.467440	0.228811	0.228811	0.271189	0.271189	
112	-69.342959	0.020331	0.023422	3.008498	0.624472	0.229194	0.229194	0.270806	0.270806	
113	-69.048724	0.020438	0.023526	0.561567	0.118178	0.229129	0.229129	0.270871	0.270871	
114	-68.776639	0.019791	0.022890	1.855844	0.385173	0.222247	0.222247	0.277753	0.277753	
115	-68.502841	0.017886	0.022487	0.651253	0.135445	0.224827	0.224827	0.275173	0.275173	
116	-68.735836	0.016249	0.021570	2.474629	0.513602	0.226482	0.226482	0.273518	0.273518	
117	-68.103319	0.012650	0.020442	2.181763	0.452814	0.216491	0.216491	0.283509	0.283509	
118	-68.102335	0.011701	0.019896	4.035440	0.837551	0.207952	0.207952	0.292048	0.292048	
119	-69.316768	0.014694	0.021381	0.965385	0.200358	0.218288	0.218288	0.281712	0.281712	
120	-68.568590	0.015086	0.021539	1.946970	0.404103	0.226939	0.226939	0.273061	0.273061	
121	-68.159407	0.018414	0.022366	7.734748	1.605357	0.229980	0.229980	0.270020	0.270020	
122	-69.089273	0.015720	0.021549	6.932415	1.438903	0.222741	0.222741	0.277259	0.277259	
123	-69.419198	0.014328	0.020290	0.683118	0.141783	0.216191	0.216191	0.283809	0.283809	
124	-69.759795	0.104276	0.062132	4.435627	0.920605	0.249999	0.249999	0.250001	0.250001	
125	-68.407305	0.013487	0.019561	3.532715	0.733179	0.219806	0.219806	0.280194	0.280194	
126	-70.239913	0.121880	0.072955	8.269677	1.716347	0.250000	0.250000	0.250000	0.250000	
127	-69.016352	0.016638	0.021686	0.498451	0.104345	0.221838	0.221838	0.278162	0.278162	
128	-68.799598	0.015455	0.020133	0.401145	0.083733	0.237779	0.237779	0.262221	0.262221	
129	-68.469051	0.016190	0.019854	0.289426	0.061235	0.243124	0.243124	0.256876	0.256876	
130	-68.635269	0.017714	0.022525	0.518315	0.108518	0.234325	0.234325	0.265675	0.265675	
131	-69.086829	0.017957	0.021971	0.480291	0.100601	0.231891	0.231891	0.268109	0.268109	
132	-69.109129	0.017229	0.021629	0.419745	0.087466	0.232310	0.232310	0.267690	0.267690	
133	-69.146570	0.015127	0.021658	0.427889	0.089052	0.226560	0.226560	0.273440	0.273440	
134	-69.093545	0.012768	0.021644	4.915572	1.020199	0.218845	0.218845	0.281155	0.281155	
135	-68.099591	0.013559	0.021137	2.771955	0.575430	0.223119	0.223119	0.276881	0.276881	
136	-69.474697	0.014987	0.021201	3.194251	0.662997	0.226670	0.226670	0.273330	0.273330	
137	-69.728615	0.015684	0.022200	0.950827	0.197361	0.228119	0.228119	0.271881	0.271881	
138	-68.603753	0.012374	0.021461	0.588012	0.123446	0.206018	0.206018	0.293982	0.293982	
139	-68.802968	0.014225	0.020824	0.581347	0.120941	0.222171	0.222171	0.277829	0.277829	
140	-68.838825	0.013950	0.020845	0.323095	0.067505	0.207616	0.207616	0.292384	0.292384	
141	-68.184166	0.015465	0.021847	0.449195	0.094446	0.226467	0.226467	0.273533	0.273533	
142	-68.527849	0.016244	0.020997	0.793460	0.164688	0.237601	0.237601	0.262399	0.262399	
143	-69.342095	0.012874	0.020850	0.447735	0.093255	0.220461	0.220461	0.279539	0.279539	
144	-69.194892	0.015340	0.021158	0.298400	0.062663	0.212688	0.212688	0.287312	0.287312	
145	-69.544044	0.015761	0.021066	0.606519	0.125891	0.208448	0.208448	0.291552	0.291552	
146	-70.082379	0.189115	0.115436	0.365134	0.076610	0.250000	0.250000	0.250000	0.250000	
147	-69.538822	0.014537	0.021726	1.572171	0.326300	0.205627	0.205627	0.294373	0.294373	
148	-69.395144	0.014855	0.022191	3.058689	0.634819	0.207544	0.207544	0.292456	0.292456	
149	-69.223764	0.017624	0.022335	3.250672	0.674679	0.217435	0.217435	0.282565	0.282565	
150	-69.273646	0.015295	0.021638	3.139515	0.651603	0.222411	0.222411	0.277589	0.277589	
151	-69.047490	0.015923	0.021589	0.374876	0.078176	0.234292	0.234292	0.265708	0.265708	
152	-68.776982	0.014038	0.021354	6.236956	1.294506	0.223294	0.223294	0.276706	0.276706	
153	-69.297400	0.015094	0.022646	11.501213	2.386809	0.228873	0.228873	0.271127	0.271127	
154	-68.695617	0.015806	0.022256	1.974497	0.409792	0.227272	0.227272	0.272728	0.272728	
155	-68.534994	0.013261	0.021432	2.559874	0.531336	0.223038	0.223038	0.276962	0.276962	
156	-69.278286	0.014143	0.021012	2.226201	0.462105	0.226162	0.226162	0.273838	0.273838	
