Options:
Model:                           Discrete: Independent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-indep
Summary:                         False
Seed                             3866554334
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
233	-69.723597	0.017884	0.022136	0.629192	0.130917	0.231100	0.231100	0.268900	0.268900	
234	-69.734590	0.015901	0.021938	0.514154	0.107385	0.218016	0.218016	0.281984	0.281984	
235	-69.410683	0.014934	0.020472	0.568378	0.118341	0.229680	0.229680	0.270320	0.270320	
236	-70.314359	5.708116	3.424867	0.709537	0.147514	0.250000	0.250000	0.250000	0.250000	
237	-69.551058	0.014865	0.021573	1.549509	0.321624	0.217407	0.217407	0.282593	0.282593	
238	-69.370838	0.014962	0.021677	0.396072	0.082579	0.230786	0.230786	0.269214	0.269214	
239	-68.328665	0.015643	0.020877	1.438597	0.298557	0.233682	0.233682	0.266318	0.266318	
240	-67.992045	0.014244	0.020861	0.874983	0.181680	0.222560	0.222560	0.277440	0.277440	
241	-68.887286	0.014819	0.023209	1.004725	0.208643	0.221770	0.221770	0.278230	0.278230	
242	-69.993610	0.089723	0.056425	0.453223	0.094954	0.249997	0.249997	0.250003	0.250003	
243	-69.535130	0.016884	0.022787	4.434147	0.920321	0.223460	0.223460	0.276540	0.276540	
244	-68.048868	0.017145	0.021805	1.757835	0.364835	0.227616	0.227616	0.272384	0.272384	
245	-69.525669	0.017724	0.021936	2.610177	0.541734	0.228059	0.228059	0.271941	0.271941	
246	-68.720096	0.017524	0.021586	0.783588	0.162826	0.218551	0.218551	0.281449	0.281449	
247	-68.356829	0.014575	0.021127	1.662559	0.345782	0.210986	0.210986	0.289014	0.289014	
248	-69.365139	0.018481	0.021977	0.852803	0.177211	0.234578	0.234578	0.265422	0.265422	
249	-68.789573	0.015794	0.021465	1.959498	0.406651	0.216939	0.216939	0.283061	0.283061	
250	-68.527364	0.016560	0.022304	3.740585	0.776352	0.230753	0.230753	0.269247	0.269247	
251	-69.353776	0.015262	0.022502	2.108418	0.437588	0.218217	0.218217	0.281783	0.281783	
252	-69.371824	0.017850	0.023641	7.329251	1.521101	0.227806	0.227806	0.272194	0.272194	
253	-69.414186	0.021362	0.024479	1.039995	0.216383	0.224336	0.224336	0.275664	0.275664	
254	-68.373603	0.016338	0.021811	0.851437	0.176887	0.214128	0.214128	0.285872	0.285872	
255	-68.843792	0.015285	0.021867	2.280951	0.473409	0.212901	0.212901	0.287099	0.287099	
256	-69.988926	0.016041	0.022280	1.422744	0.295294	0.213054	0.213054	0.286946	0.286946	
257	-69.929733	0.016801	0.022427	0.711626	0.147898	0.210092	0.210092	0.289908	0.289908	
258	-68.682934	0.012601	0.021012	1.138586	0.236305	0.201103	0.201103	0.298897	0.298897	
259	-69.244003	0.014912	0.021535	3.243700	0.673187	0.214186	0.214186	0.285814	0.285814	
260	-69.300281	0.017717	0.021934	0.349664	0.072997	0.219464	0.219464	0.280536	0.280536	
261	-69.552322	0.020155	0.023395	0.432840	0.089978	0.210130	0.210130	0.289870	0.289870	
262	-69.112441	0.016902	0.021412	0.933932	0.193848	0.218099	0.218099	0.281901	0.281901	
263	-69.167005	0.021837	0.022600	0.509199	0.106003	0.217406	0.217406	0.282594	0.282594	
264	-68.880909	0.018776	0.021924	4.285726	0.889494	0.227835	0.227835	0.272165	0.272165	
265	-68.160578	0.017063	0.022052	5.697442	1.181028	0.226659	0.226659	0.273341	0.273341	
266	-68.206946	0.018340	0.022238	0.250541	0.052623	0.214174	0.214174	0.285826	0.285826	
267	-69.004807	0.016411	0.022194	0.225896	0.047430	0.207157	0.207157	0.292843	0.292843	
268	-68.770334	0.014079	0.022438	0.652521	0.135911	0.189782	0.189782	0.310218	0.310218	
269	-69.572632	0.019281	0.023646	0.488589	0.102325	0.226747	0.226747	0.273253	0.273253	
270	-69.121635	0.014849	0.022369	0.698522	0.145311	0.216050	0.216050	0.283950	0.283950	
271	-68.945694	0.017539	0.022963	0.700392	0.145677	0.225442	0.225442	0.274558	0.274558	
272	-69.224180	0.015977	0.022454	0.460355	0.096424	0.216565	0.216565	0.283435	0.283435	
273	-68.656115	0.015213	0.021901	0.446817	0.093084	0.220242	0.220242	0.279758	0.279758	
274	-69.334027	0.015681	0.022059	0.258882	0.054432	0.226616	0.226616	0.273384	0.273384	
275	-69.412126	0.019655	0.022762	0.560516	0.116724	0.230970	0.230970	0.269030	0.269030	
276	-68.695266	0.014535	0.021255	0.445466	0.093158	0.225963	0.225963	0.274037	0.274037	
277	-69.630678	0.016532	0.021426	0.308806	0.064716	0.221951	0.221951	0.278049	0.278049	
278	-69.513635	0.016743	0.022131	0.417031	0.086713	0.235360	0.235360	0.264640	0.264640	
279	-69.908061	0.017489	0.023089	0.654710	0.135934	0.221342	0.221342	0.278658	0.278658	
280	-68.922157	0.014552	0.023025	0.459214	0.096003	0.216503	0.216503	0.283497	0.283497	
281	-69.217384	0.018926	0.023713	0.449513	0.093802	0.224376	0.224376	0.275624	0.275624	
282	-69.344677	0.016399	0.022920	0.671802	0.140023	0.211900	0.211900	0.288100	0.288100	
283	-68.041670	0.013534	0.021960	0.325940	0.068546	0.220377	0.220377	0.279623	0.279623	
284	-67.915406	0.013977	0.022502	0.359227	0.075351	0.214752	0.214752	0.285248	0.285248	
285	-67.752543	0.012691	0.021873	0.475257	0.098851	0.201031	0.201031	0.298969	0.298969	
286	-68.078975	0.013265	0.021648	0.794841	0.164993	0.213924	0.213924	0.286076	0.286076	
287	-67.979567	0.014110	0.021169	0.610001	0.126875	0.216739	0.216739	0.283261	0.283261	
288	-68.007561	0.014659	0.021218	0.635810	0.132070	0.232592	0.232592	0.267408	0.267408	
289	-67.379870	0.015472	0.020997	0.858385	0.179047	0.231279	0.231279	0.268721	0.268721	
290	-69.684005	0.017554	0.023494	0.555679	0.115699	0.228811	0.228811	0.271189	0.271189	
291	-69.684992	0.016196	0.021328	0.332493	0.069346	0.228415	0.228415	0.271585	0.271585	
292	-69.711595	0.015245	0.021691	0.684329	0.141867	0.230183	0.230183	0.269817	0.269817	
293	-69.574786	0.016058	0.021718	0.662884	0.137663	0.225479	0.225479	0.274521	0.274521	
294	-69.133294	0.013197	0.020926	1.181204	0.245130	0.219581	0.219581	0.280419	0.280419	
295	-68.524993	0.014226	0.020515	0.647993	0.134546	0.222679	0.222679	0.277321	0.277321	
296	-68.818927	0.014019	0.020530	0.718102	0.149229	0.214178	0.214178	0.285822	0.285822	
297	-69.367942	0.017234	0.022502	0.622853	0.130070	0.227518	0.227518	0.272482	0.272482	
298	-69.235729	0.017076	0.022967	0.651801	0.136451	0.221012	0.221012	0.278988	0.278988	
299	-69.603851	0.020241	0.024177	7.053776	1.464015	0.226915	0.226915	0.273085	0.273085	
300	-69.413619	0.017319	0.022928	0.882730	0.183369	0.223511	0.223511	0.276489	0.276489	
301	-68.570566	0.016745	0.022300	3.939963	0.817749	0.228732	0.228732	0.271268	0.271268	
302	-69.096838	0.015124	0.022766	5.127558	1.064674	0.226280	0.226280	0.273720	0.273720	
303	-69.269027	0.014330	0.022318	1.048762	0.217708	0.213102	0.213102	0.286898	0.286898	
304	-70.056504	0.015424	0.022211	2.379545	0.494037	0.206610	0.206610	0.293390	0.293390	
305	-68.973861	0.019346	0.022742	2.947713	0.611743	0.235113	0.235113	0.264887	0.264887	
306	-69.442105	0.016360	0.022535	2.408890	0.499998	0.224572	0.224572	0.275428	0.275428	
307	-70.150860	0.173145	0.106167	0.959910	0.199245	0.250000	0.250000	0.250000	0.250000	
308	-70.128082	0.109151	0.067774	0.648675	0.134710	0.250000	0.250000	0.250000	0.250000	
309	-68.418377	0.013794	0.021915	0.615077	0.127809	0.213253	0.213253	0.286747	0.286747	
310	-68.988306	0.016784	0.022317	0.363962	0.076482	0.222976	0.222976	0.277024	0.277024	
311	-70.315654	3.664702	2.198819	0.644335	0.133881	0.250000	0.250000	0.250000	0.250000	
312	-69.454224	0.017015	0.022480	0.946905	0.196544	0.231292	0.231292	0.268708	0.268708	
313	-68.750130	0.013953	0.022035	3.828596	0.794617	0.214996	0.214996	0.285004	0.285004	
314	-69.604042	0.014305	0.021324	0.432086	0.089856	0.210364	0.210364	0.289636	0.289636	
315	-68.775261	0.011765	0.020851	0.375601	0.078422	0.190701	0.190701	0.309299	0.309299	
316	-68.955271	0.013404	0.021515	3.307002	0.686367	0.216102	0.216102	0.283898	0.283898	
317	-69.127761	0.014160	0.021567	1.701208	0.353111	0.210288	0.210288	0.289712	0.289712	
318	-69.071531	0.015385	0.021071	0.240231	0.050202	0.225271	0.225271	0.274729	0.274729	
319	-69.165020	0.016165	0.021899	0.351103	0.073084	0.222822	0.222822	0.277178	0.277178	
320	-68.903531	0.014270	0.021391	0.231103	0.048569	0.220663	0.220663	0.279337	0.279337	
321	-68.320488	0.013261	0.021395	0.253766	0.053102	0.208774	0.208774	0.291226	0.291226	
322	-68.126047	0.013874	0.021965	1.381176	0.286668	0.199790	0.199790	0.300210	0.300210	
323	-67.397698	0.015220	0.021541	0.094180	0.021149	0.218645	0.218804	0.281173	0.281378	
324	-67.824884	0.014311	0.021127	0.288642	0.060560	0.217031	0.217031	0.282969	0.282969	
325	-67.714939	0.013357	0.021746	0.513352	0.107141	0.211701	0.211701	0.288299	0.288299	
326	-69.588168	0.018336	0.023555	0.478587	0.099666	0.224141	0.224141	0.275859	0.275859	
327	-69.015963	0.016224	0.022273	0.829555	0.172329	0.218270	0.218270	0.281730	0.281730	
328	-70.194277	0.136778	0.084838	0.315823	0.066143	0.250000	0.250000	0.250000	0.250000	
329	-68.529872	0.017187	0.021812	0.316176	0.066104	0.224142	0.224142	0.275858	0.275858	
330	-68.261018	0.018154	0.022438	0.420014	0.087752	0.229764	0.229764	0.270236	0.270236	
331	-68.336861	0.017290	0.022884	1.900587	0.394466	0.231429	0.231429	0.268571	0.268571	
332	-68.716707	0.016079	0.022022	0.241067	0.050848	0.225568	0.225568	0.274432	0.274432	
333	-68.290875	0.015497	0.021617	0.458189	0.095265	0.222301	0.222301	0.277699	0.277699	
334	-68.495252	0.015115	0.020754	2.596205	0.538756	0.225782	0.225782	0.274218	0.274218	
335	-68.819164	0.020319	0.023235	0.411959	0.086246	0.230324	0.230324	0.269676	0.269676	
336	-68.160620	0.014291	0.020571	0.472355	0.098309	0.211562	0.211562	0.288438	0.288438	
337	-69.025887	0.015181	0.020861	4.299149	0.892329	0.214152	0.214152	0.285848	0.285848	
338	-69.730921	0.017923	0.021425	1.551015	0.321997	0.226401	0.226401	0.273599	0.273599	
339	-68.745162	0.016473	0.020382	5.104173	1.059419	0.223626	0.223626	0.276374	0.276374	
340	-67.267383	0.013444	0.019355	0.391648	0.081561	0.218777	0.218777	0.281223	0.281223	
341	-67.839627	0.013247	0.020643	0.788577	0.163684	0.216249	0.216249	0.283751	0.283751	
342	-68.886686	0.014771	0.021524	0.703809	0.146100	0.223833	0.223833	0.276167	0.276167	
343	-68.464982	0.015833	0.021571	0.724008	0.150240	0.227456	0.227456	0.272544	0.272544	
344	-68.231125	0.013326	0.020337	0.355791	0.074027	0.219119	0.219119	0.280881	0.280881	
345	-68.884755	0.018878	0.022642	0.604012	0.125519	0.224397	0.224397	0.275603	0.275603	
346	-68.691322	0.015560	0.022105	0.547078	0.113772	0.209651	0.209651	0.290349	0.290349	
347	-68.275828	0.015967	0.022686	0.486361	0.101135	0.215956	0.215956	0.284044	0.284044	
348	-68.547576	0.016194	0.023150	0.426623	0.089292	0.222007	0.222007	0.277993	0.277993	
349	-68.822256	0.013857	0.021513	2.746076	0.569938	0.217254	0.217254	0.282746	0.282746	
350	-69.548362	0.017651	0.023216	0.399896	0.083282	0.228928	0.228928	0.271072	0.271072	
351	-69.537200	0.015463	0.022669	0.461763	0.096016	0.217186	0.217186	0.282814	0.282814	
352	-69.121857	0.018925	0.022693	0.281982	0.058709	0.231606	0.231606	0.268394	0.268394	
353	-68.503504	0.015857	0.021710	0.633670	0.131551	0.220354	0.220354	0.279646	0.279646	
354	-68.495446	0.015358	0.022504	2.247286	0.466419	0.217776	0.217776	0.282224	0.282224	
355	-68.800419	0.018239	0.023296	1.705892	0.354115	0.224136	0.224136	0.275864	0.275864	
356	-68.761993	0.015857	0.021845	2.252053	0.467493	0.216960	0.216960	0.283040	0.283040	
357	-70.140673	0.162260	0.099669	5.475167	1.136355	0.250000	0.250000	0.250000	0.250000	
358	-68.972134	0.018654	0.023538	0.572688	0.119373	0.228034	0.228034	0.271966	0.271966	
359	-69.276827	0.022417	0.024161	0.718926	0.149366	0.226059	0.226059	0.273941	0.273941	
360	-68.258140	0.014628	0.020903	0.549869	0.114220	0.203822	0.203822	0.296178	0.296178	
361	-68.012954	0.015047	0.021843	1.969908	0.408857	0.204494	0.204494	0.295506	0.295506	
362	-69.035644	0.017868	0.022530	1.890310	0.392337	0.212838	0.212838	0.287162	0.287162	
363	-68.924552	0.019401	0.023818	4.484288	0.930732	0.220291	0.220291	0.279709	0.279709	
364	-69.575796	0.018903	0.023730	3.302485	0.685374	0.217159	0.217159	0.282841	0.282841	
365	-69.103426	0.015484	0.023707	0.341569	0.071938	0.202512	0.202512	0.297488	0.297488	
366	-68.037120	0.015028	0.022234	0.661320	0.137435	0.200640	0.200640	0.299360	0.299360	
367	-69.394154	0.022431	0.025225	0.654480	0.137371	0.226357	0.226357	0.273643	0.273643	
368	-68.712571	0.015364	0.022904	2.616908	0.543077	0.208587	0.208587	0.291413	0.291413	
369	-69.910937	0.101499	0.061957	0.716259	0.148817	0.249998	0.249998	0.250002	0.250002	
370	-69.809002	0.014927	0.022412	12.791490	2.654663	0.219006	0.219006	0.280994	0.280994	
371	-67.720774	0.013696	0.021549	0.369225	0.077120	0.223692	0.223692	0.276308	0.276308	
372	-68.779136	0.015806	0.022139	0.922858	0.191543	0.223305	0.223305	0.276695	0.276695	
373	-68.017394	0.015074	0.021002	0.825482	0.171404	0.222919	0.222919	0.277081	0.277081	
374	-68.626674	0.017590	0.022484	0.767857	0.159366	0.222932	0.222932	0.277068	0.277068	
375	-69.386186	0.020940	0.022977	0.494266	0.103187	0.228412	0.228412	0.271588	0.271588	
376	-69.261324	0.015242	0.022724	0.284897	0.059813	0.215216	0.215216	0.284784	0.284784	
377	-67.775162	0.013154	0.021402	1.617319	0.335777	0.209158	0.209158	0.290842	0.290842	
378	-68.226815	0.014223	0.021006	0.522307	0.108732	0.218349	0.218349	0.281651	0.281651	
379	-69.365649	0.015129	0.022564	0.332315	0.069781	0.203428	0.203428	0.296572	0.296572	
380	-68.321412	0.011982	0.021864	6.644724	1.379086	0.192385	0.192385	0.307615	0.307615	
381	-69.683562	0.021300	0.025013	2.148887	0.446011	0.227577	0.227577	0.272423	0.272423	
382	-69.155976	0.013776	0.021805	0.460260	0.095957	0.209077	0.209077	0.290923	0.290923	
383	-68.558527	0.012156	0.020938	1.736214	0.360368	0.209852	0.209852	0.290148	0.290148	
384	-68.303955	0.012088	0.020903	0.986750	0.204883	0.224238	0.224238	0.275762	0.275762	
385	-68.437776	0.012007	0.021193	3.146575	0.653061	0.213649	0.213649	0.286351	0.286351	
386	-68.618621	0.014960	0.022219	0.689040	0.143145	0.223926	0.223926	0.276074	0.276074	
387	-69.932397	0.016825	0.022569	1.292023	0.268461	0.226562	0.226562	0.273438	0.273438	
388	-68.453522	0.015706	0.021589	0.585343	0.121830	0.225546	0.225546	0.274454	0.274454	
389	-68.566603	0.015533	0.021594	1.758415	0.364971	0.225828	0.225828	0.274172	0.274172	
390	-69.126584	0.017840	0.022220	0.376327	0.078473	0.225162	0.225162	0.274838	0.274838	
391	-69.104554	0.018793	0.023259	1.929809	0.400525	0.232521	0.232521	0.267479	0.267479	
392	-67.934796	0.016671	0.021141	0.461265	0.096090	0.242383	0.242383	0.257617	0.257617	
393	-69.334701	0.015195	0.021310	0.551187	0.114514	0.234630	0.234630	0.265370	0.265370	
394	-68.979022	0.016117	0.022313	4.542765	0.942900	0.231226	0.231226	0.268774	0.268774	
395	-68.336102	0.014511	0.020461	1.759720	0.365164	0.234423	0.234423	0.265577	0.265577	
396	-68.643347	0.016151	0.021162	0.668554	0.138904	0.228737	0.228737	0.271263	0.271263	
397	-68.350526	0.016373	0.021423	0.916945	0.190361	0.222405	0.222405	0.277595	0.277595	
398	-68.841347	0.018621	0.022103	0.761710	0.158163	0.229441	0.229441	0.270559	0.270559	
399	-68.934107	0.018181	0.022424	2.224756	0.461757	0.230637	0.230637	0.269363	0.269363	
400	-69.122128	0.021131	0.023327	0.757140	0.157490	0.231321	0.231321	0.268679	0.268679	
401	-68.818693	0.020987	0.023950	0.586440	0.122764	0.233375	0.233375	0.266625	0.266625	
402	-69.432400	0.019228	0.022809	1.056893	0.219561	0.226502	0.226502	0.273498	0.273498	
403	-69.332640	0.018293	0.022432	5.369533	1.114469	0.228340	0.228340	0.271660	0.271660	
404	-69.046995	0.019150	0.023155	1.420327	0.294771	0.224592	0.224592	0.275408	0.275408	
405	-68.865891	0.018388	0.023470	4.130910	0.857369	0.221422	0.221422	0.278578	0.278578	
406	-69.265814	0.019384	0.023995	1.606894	0.333514	0.229046	0.229046	0.270954	0.270954	
407	-68.381936	0.016435	0.022486	4.521524	0.938427	0.225393	0.225393	0.274607	0.274607	
408	-69.361735	0.023339	0.025434	2.171480	0.450724	0.229211	0.229211	0.270789	0.270789	
409	-68.870688	0.018870	0.022448	0.542833	0.113102	0.232124	0.232124	0.267876	0.267876	
410	-69.121528	0.015624	0.022473	1.481710	0.307595	0.219721	0.219721	0.280279	0.280279	
411	-68.579830	0.014199	0.020690	1.707139	0.354305	0.220791	0.220791	0.279209	0.279209	
412	-68.750649	0.015303	0.021415	0.260247	0.054428	0.230589	0.230589	0.269411	0.269411	
413	-68.917289	0.015079	0.020946	3.253441	0.675313	0.225366	0.225366	0.274634	0.274634	
414	-69.345193	0.016193	0.022106	0.327763	0.068539	0.225998	0.225998	0.274002	0.274002	
415	-68.561689	0.021047	0.022927	3.715711	0.771196	0.239969	0.239969	0.260031	0.260031	
416	-69.418860	0.021710	0.022321	0.482115	0.100248	0.240401	0.240401	0.259599	0.259599	
417	-69.084104	0.018188	0.021545	0.349502	0.073271	0.230570	0.230570	0.269430	0.269430	
418	-69.564470	0.015361	0.019626	1.328330	0.275835	0.237222	0.237222	0.262778	0.262778	
419	-70.116497	0.017997	0.021822	0.465104	0.096809	0.235672	0.235672	0.264328	0.264328	
420	-70.310796	0.019999	0.023266	1.821870	0.378218	0.233281	0.233281	0.266719	0.266719	
421	-69.312121	0.015423	0.021227	0.385683	0.080217	0.219862	0.219862	0.280138	0.280138	
422	-68.444212	0.019278	0.022772	0.529229	0.109912	0.232244	0.232244	0.267756	0.267756	
423	-69.012718	0.017921	0.021621	0.396354	0.082379	0.225919	0.225919	0.274081	0.274081	
424	-67.761518	0.012818	0.020464	2.733791	0.567486	0.205618	0.205618	0.294382	0.294382	
425	-68.503365	0.014109	0.020730	0.380258	0.079303	0.219807	0.219807	0.280193	0.280193	
426	-68.972749	0.014323	0.021197	0.347424	0.072374	0.210064	0.210064	0.289936	0.289936	
427	-68.368494	0.015370	0.020341	3.066774	0.636502	0.222160	0.222160	0.277840	0.277840	
428	-67.938931	0.017878	0.021488	1.181293	0.245160	0.230009	0.230009	0.269991	0.269991	
429	-69.143353	0.019748	0.022769	1.130529	0.234641	0.227946	0.227946	0.272054	0.272054	
430	-69.494903	0.020402	0.023214	0.356879	0.074363	0.231873	0.231873	0.268127	0.268127	
431	-69.100520	0.023772	0.024057	4.048400	0.840479	0.237754	0.237754	0.262246	0.262246	
432	-69.639133	0.018137	0.021659	0.482503	0.100039	0.229782	0.229782	0.270218	0.270218	
433	-68.814382	0.017405	0.021387	0.349306	0.072827	0.224962	0.224962	0.275038	0.275038	
434	-69.098946	0.020925	0.023458	0.589296	0.122578	0.227235	0.227235	0.272765	0.272765	
435	-68.750550	0.014397	0.020952	2.106759	0.437246	0.211921	0.211921	0.288079	0.288079	
436	-68.991164	0.013131	0.019893	2.405301	0.499216	0.225549	0.225549	0.274451	0.274451	
437	-68.775569	0.017030	0.020656	1.645654	0.341456	0.239742	0.239742	0.260258	0.260258	
438	-69.464243	0.016234	0.020841	1.292466	0.268212	0.228477	0.228477	0.271523	0.271523	
439	-69.385510	0.015192	0.020091	0.432583	0.089982	0.230825	0.230825	0.269175	0.269175	
440	-68.553828	0.012436	0.019945	0.447768	0.093219	0.232030	0.232030	0.267970	0.267970	
441	-69.363944	0.013518	0.021179	1.421856	0.295104	0.214031	0.214031	0.285969	0.285969	
442	-68.350491	0.013660	0.020193	0.607644	0.126172	0.218968	0.218968	0.281032	0.281032	
443	-69.350935	0.018056	0.021736	7.891255	1.639332	0.232127	0.232127	0.267873	0.267873	
444	-69.728223	0.017921	0.021196	6.207206	1.288233	0.219985	0.219985	0.280015	0.280015	
445	-68.650686	0.015408	0.021251	0.491288	0.102144	0.209268	0.209268	0.290732	0.290732	
446	-68.765888	0.016234	0.021816	1.651471	0.342791	0.213142	0.213142	0.286858	0.286858	
447	-69.011863	0.015759	0.021034	0.406892	0.085144	0.213408	0.213408	0.286592	0.286592	
448	-68.528874	0.012259	0.020035	0.622467	0.129218	0.202448	0.202448	0.297552	0.297552	
449	-69.325392	0.017655	0.021615	0.838057	0.174066	0.212188	0.212188	0.287812	0.287812	
450	-69.451615	0.019420	0.021623	1.419516	0.294607	0.215465	0.215465	0.284535	0.284535	
451	-69.148365	0.017472	0.021911	1.529484	0.317436	0.218085	0.218085	0.281915	0.281915	
452	-69.181456	0.020692	0.023301	0.511524	0.106255	0.224718	0.224718	0.275282	0.275282	
453	-68.862050	0.014932	0.021469	0.436448	0.090911	0.210725	0.210725	0.289275	0.289275	
454	-69.542394	0.015645	0.020931	0.273826	0.057271	0.218270	0.218270	0.281730	0.281730	
455	-69.243857	0.018096	0.021376	0.557070	0.116000	0.224762	0.224762	0.275238	0.275238	
456	-69.164857	0.016903	0.021140	0.346679	0.072316	0.215835	0.215835	0.284165	0.284165	
457	-68.682629	0.017060	0.020929	2.205107	0.457723	0.216650	0.216650	0.283350	0.283350	
458	-69.963649	0.018946	0.022440	0.299855	0.062566	0.222928	0.222928	0.277072	0.277072	
459	-69.989089	0.078854	0.048137	0.385010	0.080251	0.249964	0.249964	0.250036	0.250036	
460	-69.231986	0.013979	0.020305	0.385324	0.080129	0.211582	0.211582	0.288418	0.288418	
461	-69.511015	0.015777	0.021285	2.667353	0.553614	0.227971	0.227971	0.272029	0.272029	
462	-69.245727	0.012444	0.020470	4.537829	0.941833	0.212602	0.212602	0.287398	0.287398	
463	-69.121215	0.014717	0.020464	5.532137	1.148253	0.219017	0.219017	0.280983	0.280983	
464	-69.398314	0.014713	0.021201	0.650203	0.134950	0.217781	0.217781	0.282219	0.282219	
465	-69.352419	0.015521	0.021121	3.754508	0.779231	0.224787	0.224787	0.275213	0.275213	
466	-69.528495	0.015830	0.021612	0.447742	0.093415	0.223156	0.223156	0.276844	0.276844	
467	-69.919587	0.016691	0.022264	1.299602	0.269750	0.213176	0.213176	0.286824	0.286824	
468	-69.072579	0.018442	0.021711	0.435997	0.090976	0.222522	0.222522	0.277478	0.277478	
469	-68.399163	0.015763	0.020874	1.289251	0.267579	0.225484	0.225484	0.274516	0.274516	
470	-68.405013	0.014278	0.020217	0.679049	0.140963	0.216139	0.216139	0.283861	0.283861	
471	-69.314537	0.018442	0.021210	0.479923	0.099925	0.227559	0.227559	0.272441	0.272441	
472	-68.850931	0.014456	0.020162	2.105335	0.436985	0.225407	0.225407	0.274593	0.274593	
473	-69.865919	0.017239	0.021409	0.626473	0.130098	0.217656	0.217656	0.282344	0.282344	
474	-69.010464	0.020413	0.021634	0.352067	0.073335	0.230076	0.230076	0.269924	0.269924	
475	-69.043277	0.020974	0.022712	0.496487	0.103189	0.231087	0.231087	0.268913	0.268913	
476	-68.738737	0.021189	0.021928	1.181390	0.245218	0.234766	0.234766	0.265234	0.265234	
477	-68.309287	0.020892	0.021757	0.548669	0.114348	0.231306	0.231306	0.268694	0.268694	
478	-68.746204	0.018990	0.021970	0.581299	0.120711	0.223823	0.223823	0.276177	0.276177	
479	-68.851399	0.019715	0.021457	0.370800	0.077457	0.221675	0.221675	0.278325	0.278325	
480	-68.509814	0.017571	0.021277	0.417132	0.086686	0.225779	0.225779	0.274221	0.274221	
481	-68.877791	0.017790	0.021155	0.539359	0.111983	0.226964	0.226964	0.273036	0.273036	
482	-68.903851	0.016645	0.020890	2.150896	0.446428	0.215511	0.215511	0.284489	0.284489	
483	-68.680008	0.018171	0.021055	2.593344	0.538281	0.217063	0.217063	0.282937	0.282937	
484	-69.097772	0.023330	0.023020	1.541424	0.319934	0.226595	0.226595	0.273405	0.273405	
485	-68.923662	0.021715	0.022768	7.503959	1.557013	0.223251	0.223251	0.276749	0.276749	
486	-67.944311	0.016553	0.021097	0.541072	0.112765	0.208168	0.208168	0.291832	0.291832	
487	-68.312230	0.016930	0.021428	0.593833	0.123769	0.204162	0.204162	0.295838	0.295838	
488	-69.233805	0.017831	0.022306	9.583105	1.988942	0.218772	0.218772	0.281228	0.281228	
489	-68.668935	0.014746	0.021197	0.275827	0.057808	0.214790	0.214790	0.285210	0.285210	
490	-68.523275	0.012270	0.021163	3.322949	0.689674	0.200967	0.200967	0.299033	0.299033	
491	-68.419745	0.015357	0.020919	1.166913	0.242200	0.220058	0.220058	0.279942	0.279942	
492	-68.677146	0.015333	0.021752	2.032350	0.421806	0.224472	0.224472	0.275528	0.275528	
493	-68.681803	0.015863	0.021244	0.468616	0.097392	0.224395	0.224395	0.275605	0.275605	
494	-70.205220	0.020087	0.022681	0.776647	0.161267	0.227469	0.227469	0.272531	0.272531	
495	-69.448384	0.017306	0.021246	2.182471	0.452931	0.239779	0.239779	0.260221	0.260221	
496	-68.427581	0.014934	0.020679	4.986829	1.034911	0.226198	0.226198	0.273802	0.273802	
497	-69.223946	0.014989	0.021309	0.680897	0.141399	0.223868	0.223868	0.276132	0.276132	
498	-70.251435	0.306137	0.184747	0.328314	0.068643	0.250000	0.250000	0.250000	0.250000	
499	-69.972409	0.153801	0.093291	0.387921	0.081176	0.250000	0.250000	0.250000	0.250000	
500	-70.283485	0.261693	0.158194	0.751497	0.156008	0.250000	0.250000	0.250000	0.250000	
501	-69.764246	0.019454	0.023874	0.444340	0.092574	0.217930	0.217930	0.282070	0.282070	
502	-69.595959	0.014128	0.021786	1.269177	0.263452	0.205016	0.205016	0.294984	0.294984	
503	-69.698499	0.016099	0.023202	2.196600	0.455823	0.218591	0.218591	0.281409	0.281409	
504	-68.456614	0.016068	0.024044	1.240342	0.257458	0.217985	0.217985	0.282015	0.282015	
505	-68.517285	0.018665	0.022940	2.659277	0.551937	0.238651	0.238651	0.261349	0.261349	
506	-69.087455	0.018148	0.022314	0.566490	0.117669	0.233671	0.233671	0.266329	0.266329	
507	-68.644684	0.014815	0.021864	0.352440	0.073377	0.235856	0.235856	0.264144	0.264144	
508	-68.137845	0.013134	0.021540	0.499827	0.103913	0.227870	0.227870	0.272130	0.272130	
