Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-dep
Summary:                         False
Seed                             2792812647
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     8
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
167	-69.372700	0.525089	0.591559	0.293678	0.000000	0.000000	0.888591	0.087224	0.073129	0.250000	0.250000	0.250000	0.250000	
168	-68.822601	0.462409	0.000000	0.130877	0.020952	0.000000	0.371064	0.026997	0.063246	0.223369	0.225640	0.276748	0.274242	
169	-68.718861	1.339641	0.000000	0.365306	0.016690	0.000000	1.051028	0.025579	0.183485	0.216713	0.217543	0.283366	0.282378	
170	-68.850943	0.797388	0.000000	0.216906	0.019327	0.003411	0.368079	0.025202	0.063033	0.221838	0.223236	0.278423	0.276503	
171	-67.865045	0.721721	0.000000	0.193353	0.015243	0.009670	0.237618	0.023102	0.041417	0.197269	0.199626	0.303100	0.300004	
172	-69.134776	0.483722	0.000000	0.117679	0.022540	0.041303	0.682967	0.018478	0.125177	0.227597	0.229699	0.270858	0.271845	
173	-69.225893	0.426170	0.000000	0.120282	0.024462	0.003361	0.281691	0.026422	0.048984	0.229286	0.231548	0.270629	0.268538	
174	-67.786657	0.914514	0.000000	0.245081	0.017107	0.005620	0.396403	0.024777	0.068604	0.215045	0.216333	0.285377	0.283246	
175	-68.450107	0.427445	0.000000	0.121109	0.020054	0.000000	1.095564	0.026231	0.190490	0.228326	0.230187	0.271091	0.270395	
176	-68.198855	0.398447	0.000000	0.112174	0.021536	0.000000	0.682181	0.026773	0.118733	0.223888	0.226444	0.275528	0.274140	
177	-68.694239	0.307103	0.000000	0.088596	0.020755	0.000000	1.610775	0.025268	0.286678	0.218604	0.222674	0.279653	0.279069	
178	-69.077954	0.324475	0.000000	0.094099	0.020027	0.001240	0.260789	0.026643	0.044565	0.219570	0.223023	0.280645	0.276763	
179	-68.581956	0.206372	0.000005	0.064675	0.016948	0.000000	0.679340	0.026136	0.116349	0.195444	0.204591	0.301069	0.298896	
180	-68.748144	0.237127	0.000000	0.070807	0.019803	0.000005	2.086065	0.026042	0.365173	0.215898	0.221369	0.281612	0.281121	
181	-67.988024	0.385891	0.000000	0.109137	0.016782	0.000000	0.876357	0.024620	0.151431	0.217072	0.220008	0.281973	0.280948	
182	-68.236852	1.112486	0.000000	0.294350	0.023619	0.008235	0.988368	0.025050	0.174247	0.238183	0.238632	0.261737	0.261447	
183	-68.434824	0.497861	0.000000	0.139776	0.023762	0.000000	1.300290	0.027650	0.226471	0.232143	0.233653	0.267368	0.266836	
184	-68.701935	0.350869	0.000000	0.101730	0.024521	0.000000	0.985773	0.028337	0.169250	0.225894	0.228918	0.273054	0.272134	
185	-69.602749	0.815980	0.000000	0.224850	0.024386	0.000000	1.590227	0.028014	0.279884	0.228615	0.229734	0.271101	0.270551	
186	-69.950331	0.491784	0.000000	0.129408	0.234732	0.000000	0.931537	0.131738	0.164234	0.250000	0.250000	0.250000	0.250000	
187	-69.991417	0.597274	0.000000	0.158264	0.299775	0.000000	0.912728	0.168964	0.161175	0.250000	0.250000	0.250000	0.250000	
188	-69.586622	0.997535	0.000000	0.263174	0.183497	0.000000	1.754685	0.105486	0.308868	0.250000	0.250000	0.250000	0.250000	
189	-69.722481	0.367069	0.000000	0.098620	0.169529	0.000000	1.030199	0.097559	0.180928	0.250000	0.250000	0.250000	0.250000	
190	-69.679720	0.231966	0.000000	0.064150	0.180179	0.000000	1.288004	0.105506	0.226749	0.249996	0.250000	0.250002	0.250002	
191	-68.520988	0.376836	0.000000	0.108752	0.023232	0.000000	2.727408	0.028965	0.472432	0.228616	0.231133	0.270263	0.269987	
192	-68.086821	0.592151	0.000000	0.163987	0.021624	0.000000	2.029693	0.027144	0.358001	0.221536	0.223559	0.277687	0.277218	
193	-68.088172	0.000000	0.153903	0.027436	0.000000	0.054553	2.262474	0.026552	0.392065	0.255179	0.238700	0.253148	0.252974	
194	-68.247315	0.038382	0.000000	0.010761	0.023526	0.028825	3.224991	0.022720	0.586574	0.200649	0.245652	0.276928	0.276771	
195	-68.506043	0.322394	0.000000	0.093626	0.020708	0.000079	1.625087	0.026843	0.285125	0.214866	0.219180	0.283326	0.282628	
196	-69.366863	0.037305	0.850579	0.029099	0.000000	0.625154	2.700375	0.020447	0.473275	0.259479	0.219893	0.260361	0.260267	
197	-69.545672	1.604011	0.000000	0.434683	0.027021	0.000000	1.038179	0.028321	0.180179	0.228024	0.228712	0.272044	0.271220	
198	-69.906769	0.307705	0.000000	0.082937	0.322910	0.000000	0.701847	0.183314	0.124439	0.250000	0.250000	0.250000	0.250000	
199	-69.897308	0.166174	0.000000	0.046305	0.241035	0.000000	0.733044	0.137828	0.129355	0.249997	0.250000	0.250001	0.250001	
200	-69.922280	0.200663	0.000000	0.055005	0.374877	0.000000	0.653023	0.213095	0.115332	0.250000	0.250000	0.250000	0.250000	
201	-70.005411	0.187612	0.000000	0.051832	1.101205	0.000008	0.910993	0.616443	0.160668	0.250000	0.250000	0.250000	0.250000	
202	-70.043510	0.211448	0.000000	0.057580	0.955076	0.000000	1.107402	0.535144	0.195602	0.250000	0.250000	0.250000	0.250000	
203	-69.499287	0.007830	0.000000	0.013604	0.277308	0.000000	0.640156	0.163242	0.112514	0.154059	0.289962	0.276741	0.279239	
204	-68.717270	1.591658	0.000000	0.425867	0.023706	0.000000	0.580817	0.026804	0.100836	0.234507	0.234908	0.265838	0.264746	
205	-68.459752	0.401721	0.000000	0.105386	0.019886	0.022640	0.303094	0.022451	0.055912	0.209473	0.213267	0.288527	0.288734	
206	-67.989666	0.367388	0.000000	0.104937	0.016965	0.000000	0.786610	0.025823	0.136765	0.184840	0.190787	0.313454	0.310919	
207	-68.444994	0.499018	0.000000	0.140652	0.016552	0.000843	0.272705	0.025743	0.046651	0.198233	0.201433	0.303333	0.297001	
208	-69.903698	0.333336	0.000000	0.090179	0.222648	0.000000	0.595466	0.125457	0.105150	0.250000	0.250000	0.250000	0.250000	
209	-69.952471	0.571326	0.000000	0.153573	0.095822	0.000000	0.824782	0.056972	0.145376	0.249915	0.249936	0.250079	0.250070	
210	-68.978955	0.437659	0.000000	0.123630	0.021874	0.000000	0.581224	0.025614	0.100572	0.217619	0.220566	0.281870	0.279946	
211	-68.944345	0.884974	0.000000	0.238156	0.022267	0.005183	0.460313	0.025699	0.079929	0.221459	0.222760	0.278798	0.276982	
212	-69.289258	0.341892	0.000000	0.100065	0.022042	0.000000	1.668602	0.025584	0.294394	0.220933	0.224474	0.277567	0.277026	
213	-69.208225	0.352056	0.000000	0.101487	0.022275	0.000000	0.839607	0.026043	0.146292	0.225950	0.228737	0.273141	0.272173	
214	-68.989291	0.382851	0.000002	0.108750	0.025797	0.000001	1.565262	0.026749	0.273782	0.235583	0.237415	0.263651	0.263351	
215	-69.964212	0.218845	0.000000	0.059256	0.276063	0.000000	1.190407	0.156540	0.209598	0.250000	0.250000	0.250000	0.250000	
216	-69.104050	0.570968	0.000000	0.159299	0.031851	0.000000	0.549060	0.028482	0.097271	0.237557	0.238757	0.262309	0.261377	
217	-69.465727	0.430267	0.000000	0.121566	0.031648	0.000000	1.240654	0.029137	0.218109	0.235023	0.236955	0.264249	0.263773	
218	-69.914505	0.309495	0.000000	0.082433	0.160667	0.000000	0.518183	0.089688	0.091279	0.249999	0.250000	0.250001	0.250001	
219	-69.945548	0.534119	0.000000	0.140856	0.210315	0.000000	0.193244	0.117404	0.034975	0.249998	0.249999	0.250003	0.250000	
220	-69.922514	0.320935	0.000000	0.085977	0.223354	0.000000	0.715723	0.125735	0.126455	0.250000	0.250000	0.250000	0.250000	
221	-68.693181	0.058898	0.201715	0.031092	0.000000	0.113714	2.540874	0.019985	0.443879	0.254584	0.222809	0.261300	0.261306	
222	-69.083767	0.399886	0.000000	0.114779	0.019965	0.000000	0.506571	0.026780	0.087008	0.222364	0.224815	0.277435	0.275386	
223	-67.912186	0.009408	0.006851	0.006868	0.015941	0.025745	1.604286	0.021420	0.279695	0.200939	0.217437	0.292374	0.289250	
224	-68.468611	0.021218	0.208853	0.026539	0.000000	0.110379	1.263954	0.021729	0.207006	0.258584	0.223963	0.258965	0.258488	
225	-68.372352	0.000000	0.007327	0.006487	0.020232	0.023470	0.661750	0.022509	0.117520	0.181912	0.240415	0.294181	0.283492	
226	-69.243685	0.496804	0.000000	0.139869	0.019292	0.000000	2.226682	0.025313	0.392077	0.213963	0.216637	0.284958	0.284442	
227	-68.705638	0.000000	1.770697	0.016332	0.007668	1.491677	0.926191	0.023048	0.149692	0.269057	0.197170	0.268263	0.265510	
228	-68.279427	0.402743	0.000000	0.109814	0.021099	0.012256	0.136956	0.026178	0.024889	0.214382	0.217772	0.286303	0.281542	
229	-69.275381	0.871812	0.000000	0.240897	0.017940	0.000000	1.454403	0.027719	0.253335	0.197256	0.199277	0.302418	0.301050	
230	-68.964684	0.003595	0.321675	0.021015	0.000000	0.196957	1.295412	0.023638	0.221696	0.269610	0.199944	0.265989	0.264458	
231	-69.946217	0.307665	0.000000	0.082792	0.182926	0.000000	0.280924	0.103756	0.049844	0.250000	0.250000	0.250000	0.250000	
232	-69.921889	0.220011	0.000000	0.059699	0.312845	0.000000	0.384236	0.178198	0.068356	0.250000	0.250000	0.250000	0.250000	
233	-69.945948	0.195600	0.000000	0.054151	0.200767	0.000000	0.315554	0.115236	0.056114	0.249997	0.250000	0.250002	0.250001	
234	-69.723331	0.219606	0.000000	0.059502	0.207122	0.000000	0.471985	0.118907	0.083685	0.249998	0.250000	0.250001	0.250001	
235	-69.128966	0.700357	0.000000	0.192375	0.019173	0.000000	0.636564	0.024325	0.110730	0.229174	0.230279	0.270776	0.269770	
236	-69.308849	0.295757	0.000000	0.088018	0.019493	0.000000	1.537927	0.024693	0.271861	0.219760	0.224071	0.278307	0.277863	
237	-69.337283	0.607848	0.000000	0.160927	0.019228	0.017854	0.468741	0.022383	0.083708	0.217363	0.219339	0.281836	0.281461	
238	-69.055858	0.002294	0.487544	0.022428	0.000000	0.345078	1.466956	0.022416	0.243660	0.260048	0.223120	0.258786	0.258046	
239	-68.141375	0.501593	0.000000	0.123341	0.019770	0.041929	0.782161	0.017101	0.143237	0.233132	0.234410	0.265852	0.266605	
240	-67.797105	1.620341	0.000000	0.431539	0.018048	0.001803	1.099316	0.024260	0.191374	0.222143	0.222731	0.277947	0.277179	
241	-68.561786	0.267717	0.000000	0.080446	0.018692	0.000000	1.100553	0.027554	0.191279	0.217839	0.222098	0.280521	0.279542	
242	-69.483913	0.023274	0.000000	0.015866	0.132621	0.000000	0.547384	0.080098	0.096793	0.246077	0.257569	0.247549	0.248806	
243	-69.168227	0.194802	0.000000	0.061211	0.021271	0.000000	0.664449	0.027208	0.114919	0.217371	0.223945	0.280127	0.278557	
244	-67.824946	0.418126	0.000000	0.116714	0.021696	0.000000	0.898708	0.025862	0.156043	0.225887	0.228249	0.273372	0.272492	
245	-69.326689	0.314431	0.000000	0.073443	0.022706	0.040887	0.553947	0.018482	0.103000	0.227445	0.230514	0.270335	0.271706	
246	-68.484704	0.555934	0.000000	0.154150	0.022797	0.000000	0.449416	0.025824	0.078504	0.217535	0.220058	0.282403	0.280005	
247	-68.134446	0.592528	0.000000	0.163087	0.018875	0.000000	1.032538	0.025142	0.181746	0.210257	0.212680	0.289152	0.287911	
248	-69.066874	0.413436	0.000003	0.116275	0.023388	0.000000	1.987078	0.026037	0.345856	0.233325	0.235078	0.265938	0.265658	
249	-68.503588	0.547427	0.000000	0.153408	0.020109	0.000000	0.791106	0.025444	0.137243	0.215093	0.217670	0.284269	0.282968	
250	-68.240183	0.332926	0.000000	0.096326	0.020884	0.000000	1.872034	0.026455	0.328108	0.228705	0.231213	0.270228	0.269853	
251	-69.133267	0.756425	0.000000	0.207420	0.019331	0.000000	1.186768	0.026615	0.206715	0.216753	0.218331	0.282965	0.281951	
252	-69.114167	0.286106	0.000000	0.084760	0.023225	0.000000	1.337108	0.028321	0.233567	0.225688	0.229191	0.272900	0.272221	
253	-69.202887	0.090492	0.231192	0.041529	0.000000	0.129694	1.241707	0.020123	0.214058	0.251998	0.227712	0.260004	0.260286	
254	-68.176421	0.766901	0.000000	0.207879	0.020936	0.000000	1.118157	0.025839	0.195103	0.213253	0.215088	0.286420	0.285240	
255	-68.643761	0.717483	0.000000	0.190736	0.019681	0.015718	0.566809	0.023112	0.100418	0.212509	0.214411	0.286865	0.286215	
256	-69.940548	0.373355	0.000000	0.099386	0.134556	0.000000	0.958082	0.076290	0.168673	0.249997	0.249999	0.250002	0.250002	
257	-69.704188	1.261234	0.000000	0.333446	0.100759	0.000000	0.369377	0.059367	0.064703	0.249974	0.249977	0.250029	0.250020	
258	-68.406603	0.343083	0.000000	0.099706	0.016071	0.000000	1.800688	0.024884	0.314959	0.197582	0.202367	0.300463	0.299588	
259	-69.016215	0.559041	0.000000	0.156592	0.019178	0.000000	0.957189	0.025496	0.165740	0.212776	0.215045	0.286798	0.285382	
260	-69.000840	1.214530	0.000000	0.324847	0.023210	0.000000	0.221462	0.026254	0.037683	0.219119	0.220152	0.283167	0.277561	
261	-69.227092	1.991551	0.000000	0.521190	0.027076	0.012026	0.126363	0.026099	0.022880	0.211991	0.212898	0.290725	0.284386	
262	-68.910371	0.424663	0.000000	0.110197	0.021884	0.025601	0.646551	0.020921	0.115532	0.217112	0.220247	0.281119	0.281522	
263	-68.817489	0.100666	0.259608	0.044273	0.000000	0.149695	1.900417	0.017358	0.331820	0.252343	0.221645	0.262810	0.263202	
264	-68.602563	0.272001	0.000000	0.049818	0.023770	0.073280	0.752639	0.012197	0.144563	0.226505	0.230452	0.270103	0.272940	
265	-67.949093	0.490191	0.000000	0.132477	0.022032	0.009178	0.398915	0.024561	0.069922	0.225983	0.227927	0.273687	0.272403	
266	-67.943064	3.219083	0.000000	0.845099	0.023393	0.016322	0.166697	0.023373	0.030974	0.214815	0.215293	0.285994	0.283897	
267	-68.818693	0.387672	0.000000	0.110096	0.020967	0.000000	0.924810	0.026353	0.160115	0.203559	0.208319	0.294890	0.293232	
268	-68.516814	1.709331	0.000000	0.457952	0.018301	0.003525	0.336534	0.026054	0.058181	0.189844	0.191073	0.312245	0.306838	
269	-69.492495	0.109432	0.437241	0.145917	0.000000	0.000000	2.654888	0.067602	0.408545	0.250000	0.249999	0.250000	0.250000	
270	-68.900076	0.459939	0.000000	0.130982	0.019397	0.000038	0.430723	0.026687	0.074118	0.215019	0.217874	0.284888	0.282220	
271	-68.615612	0.498549	0.000000	0.140822	0.022512	0.000000	0.516155	0.027278	0.088894	0.223945	0.226116	0.275887	0.274053	
272	-68.910278	0.531554	0.000000	0.149884	0.020932	0.000000	0.359056	0.026894	0.062144	0.215431	0.217880	0.285160	0.281529	
273	-68.323500	0.469156	0.000000	0.130672	0.019700	0.000000	0.308049	0.026298	0.052750	0.218281	0.220726	0.282343	0.278650	
274	-69.059524	0.326275	0.000000	0.091005	0.020895	0.009059	0.165046	0.024841	0.029032	0.226331	0.229140	0.273703	0.270825	
275	-69.184537	2.943184	0.000000	0.774017	0.024937	0.018152	0.371939	0.023590	0.067436	0.231149	0.231439	0.268907	0.268505	
276	-68.443311	0.848847	0.000000	0.225313	0.018565	0.013366	0.230543	0.022744	0.041607	0.226095	0.227122	0.274003	0.272780	
277	-69.790010	0.866534	0.000000	0.229126	0.129245	0.000000	0.188578	0.074231	0.033831	0.249993	0.249994	0.250011	0.250003	
278	-69.038880	0.009394	0.204841	0.026477	0.000000	0.094842	1.568409	0.023445	0.266349	0.253431	0.241155	0.252795	0.252619	
279	-69.632842	1.331545	0.000001	0.359613	0.022561	0.002418	0.201602	0.027039	0.034870	0.220669	0.221560	0.281483	0.276287	
280	-68.694273	0.578474	0.000000	0.162346	0.018896	0.000010	0.487154	0.027434	0.083974	0.215346	0.217420	0.284960	0.282274	
281	-68.964948	0.015349	0.255152	0.031487	0.000000	0.118227	1.121508	0.025451	0.187663	0.256195	0.233169	0.255562	0.255073	
282	-69.147131	1.696932	0.000000	0.450751	0.021060	0.010803	0.670190	0.025192	0.118450	0.212112	0.213035	0.287945	0.286909	
283	-67.836431	0.824476	0.000000	0.217184	0.017619	0.021662	0.299862	0.022100	0.055323	0.221756	0.222945	0.277653	0.277646	
284	-67.701279	0.927719	0.000000	0.243564	0.018331	0.021694	0.212051	0.022842	0.039716	0.216724	0.218004	0.282720	0.282552	
285	-67.548906	0.458709	0.000000	0.116459	0.016256	0.032272	0.374367	0.020022	0.069527	0.200928	0.204582	0.296235	0.298256	
286	-67.875359	1.864133	0.000000	0.494486	0.017029	0.011152	0.489383	0.023595	0.086014	0.214430	0.215084	0.285801	0.284685	
287	-67.762107	0.814707	0.000000	0.218042	0.018247	0.008967	0.436470	0.023533	0.076782	0.216834	0.218350	0.283055	0.281761	
288	-67.801564	1.127134	0.000000	0.291506	0.018621	0.028916	0.475120	0.019876	0.086917	0.232894	0.233462	0.266607	0.267036	
289	-67.156251	1.710840	0.000000	0.452505	0.019721	0.031820	0.456225	0.019079	0.084330	0.231844	0.232313	0.267658	0.268184	
290	-69.783719	0.430488	0.000000	0.114315	0.174644	0.000046	0.518080	0.099779	0.091316	0.250000	0.250000	0.250000	0.250000	
291	-69.475602	1.390492	0.000000	0.373564	0.020510	0.000000	1.535162	0.025193	0.270056	0.227999	0.228659	0.271885	0.271457	
292	-69.861681	0.206891	0.000000	0.056287	0.156715	0.000000	0.534727	0.089490	0.093783	0.249998	0.250000	0.250002	0.250001	
293	-69.289639	3.087417	0.000000	0.855206	0.020871	0.003722	0.254360	0.025093	0.044498	0.225920	0.226229	0.275291	0.272560	
294	-68.910019	0.911377	0.000000	0.248428	0.017069	0.000000	0.511862	0.024799	0.088098	0.219497	0.220569	0.280970	0.278965	
295	-68.237154	0.349768	0.000000	0.099443	0.018071	0.000000	0.464801	0.024388	0.079803	0.220100	0.223165	0.279279	0.277456	
296	-68.571943	0.805243	0.000000	0.220200	0.018094	0.000000	0.525111	0.024344	0.090355	0.213703	0.215307	0.286543	0.284447	
297	-69.059746	0.085422	0.339311	0.035614	0.000000	0.222951	1.525452	0.017119	0.272142	0.253323	0.229829	0.258250	0.258598	
298	-69.177480	0.347005	0.000000	0.062813	0.081581	0.092645	0.582396	0.032323	0.120400	0.249886	0.249932	0.250080	0.250102	
299	-69.328279	0.364200	0.000000	0.105727	0.026512	0.000000	1.618469	0.028902	0.282576	0.225584	0.228770	0.273109	0.272537	
300	-69.373434	0.354955	0.000000	0.089439	0.117177	0.017027	1.049533	0.066494	0.186802	0.249962	0.249981	0.250030	0.250028	
301	-68.343068	0.472467	0.000000	0.132594	0.021400	0.000000	1.508599	0.026480	0.263781	0.227644	0.229591	0.271625	0.271139	
302	-68.868290	0.485892	0.000000	0.137886	0.019581	0.000000	1.630821	0.027089	0.285802	0.225452	0.227324	0.273873	0.273351	
303	-68.934282	0.000000	0.132175	0.023589	0.000000	0.047173	1.687285	0.024831	0.278704	0.254226	0.237667	0.254135	0.253973	
304	-69.920951	0.358977	0.000000	0.095397	0.245430	0.000013	1.524343	0.140067	0.268250	0.250000	0.250000	0.250000	0.250000	
305	-68.779221	2.227777	0.000000	0.592337	0.024651	0.000000	1.382374	0.026863	0.241189	0.235080	0.235386	0.264969	0.264564	
306	-69.233552	0.733101	0.000000	0.201980	0.021178	0.000005	0.822524	0.026784	0.143521	0.224247	0.225635	0.275622	0.274497	
307	-69.829968	0.656295	0.000000	0.000000	0.169491	0.552488	0.446128	0.000000	0.175995	0.250000	0.250000	0.250000	0.250000	
308	-69.404663	0.001489	0.214877	0.025576	0.000215	0.101702	2.275565	0.024128	0.394807	0.256142	0.235545	0.254275	0.254038	
309	-68.228854	0.450790	0.000000	0.104635	0.017399	0.054811	1.530303	0.015993	0.276862	0.212061	0.214887	0.285847	0.287204	
310	-68.701297	0.023505	0.215247	0.026852	0.000027	0.108917	0.890257	0.022088	0.151478	0.256944	0.228580	0.257510	0.256966	
311	-69.370052	0.000000	0.497984	0.025604	0.000000	0.311164	1.146008	0.024204	0.194051	0.259775	0.224570	0.258314	0.257342	
312	-68.721098	0.027994	0.482802	0.027756	0.000000	0.281994	5.216673	0.021496	0.999002	0.256671	0.228950	0.257227	0.257152	
313	-68.115329	0.037239	0.228245	0.024950	0.000000	0.131730	1.510141	0.020067	0.262576	0.257859	0.220048	0.261153	0.260940	
314	-69.380520	1.135602	0.000000	0.251393	0.017952	0.133119	1.297599	0.001144	0.251754	0.211591	0.212835	0.285230	0.290344	
315	-68.547262	2.200101	0.000000	0.581148	0.015250	0.013346	0.294491	0.022330	0.052386	0.191978	0.192769	0.308770	0.306483	
316	-68.756901	0.795099	0.000000	0.218848	0.017339	0.001009	0.462177	0.025336	0.078971	0.215535	0.216923	0.285028	0.282514	
317	-68.904102	0.653545	0.000000	0.180112	0.017948	0.000000	0.712250	0.025517	0.123180	0.208126	0.210303	0.291775	0.289797	
318	-68.753915	0.735770	0.000000	0.199606	0.020210	0.001704	0.168401	0.024863	0.028189	0.225542	0.226746	0.276292	0.271420	
319	-68.916149	1.217180	0.000000	0.327512	0.020899	0.001859	0.235118	0.025673	0.040138	0.222671	0.223543	0.278820	0.274965	
320	-68.621682	0.000000	0.092991	0.016123	0.005816	0.039628	0.735567	0.023084	0.125118	0.259129	0.226882	0.257383	0.256606	
321	-67.831723	0.000000	0.119788	0.013955	0.005930	0.062001	0.834751	0.022457	0.143169	0.267897	0.210269	0.261673	0.260161	
322	-67.905101	0.300025	0.000000	0.077881	0.017812	0.023291	0.297750	0.021788	0.054606	0.197566	0.203952	0.298958	0.299524	
323	-67.072674	0.302072	0.000000	0.081255	0.020097	0.013993	0.090567	0.023310	0.017062	0.219758	0.223835	0.278962	0.277445	
324	-67.571497	0.320943	0.000001	0.093961	0.018680	0.000000	0.560971	0.025256	0.096409	0.214781	0.219018	0.283926	0.282275	
325	-67.415091	0.297816	0.000000	0.087064	0.017241	0.000000	0.520531	0.025967	0.089767	0.208373	0.213144	0.290438	0.288044	
326	-69.350698	1.299501	0.000000	0.352978	0.023659	0.000000	0.740679	0.027928	0.128245	0.223905	0.224740	0.276412	0.274944	
327	-68.808580	1.575002	0.000000	0.423831	0.020888	0.000000	0.618187	0.026363	0.106759	0.218176	0.218964	0.282367	0.280494	
328	-69.953325	0.336291	0.000000	0.090664	0.154445	0.000174	0.229836	0.089732	0.040909	0.249999	0.249999	0.250002	0.250001	
329	-68.309496	0.296852	0.000000	0.065340	0.021543	0.049477	0.399335	0.016631	0.077718	0.222601	0.226528	0.273826	0.277045	
330	-67.962682	0.408574	0.000000	0.115782	0.023363	0.000000	0.275906	0.026786	0.047255	0.228147	0.230448	0.272101	0.269304	
331	-68.131731	0.436376	0.000000	0.122342	0.022018	0.000000	1.633374	0.027165	0.285569	0.230163	0.231979	0.269152	0.268707	
332	-68.403914	1.052008	0.000000	0.273863	0.020810	0.012837	0.137540	0.023803	0.024940	0.226649	0.227538	0.274050	0.271764	
333	-68.086826	3.297753	0.000000	0.887673	0.019796	0.000000	0.598295	0.025532	0.103154	0.222092	0.222404	0.278583	0.276922	
334	-68.160830	0.230186	0.000000	0.042538	0.019160	0.062491	0.737795	0.012938	0.139579	0.223090	0.227641	0.273371	0.275898	
335	-68.599980	1.080451	0.000000	0.286926	0.025993	0.009752	0.338779	0.025810	0.060705	0.229970	0.230810	0.270332	0.268889	
336	-67.870747	1.138860	0.000001	0.302977	0.018686	0.016287	0.194314	0.021461	0.035564	0.213315	0.214505	0.286689	0.285491	
337	-68.828967	0.917961	0.000000	0.246852	0.019498	0.004621	0.838513	0.023877	0.146636	0.213718	0.215130	0.286159	0.284994	
338	-69.427130	0.065287	0.271167	0.032533	0.000005	0.160575	1.498732	0.017337	0.258347	0.253809	0.229079	0.258485	0.258628	
339	-68.443953	0.241118	0.000000	0.040738	0.020897	0.073010	1.183755	0.010613	0.219699	0.220353	0.225398	0.275982	0.278266	
340	-67.041157	0.336215	0.000000	0.077393	0.017022	0.046925	0.425460	0.014240	0.081708	0.218168	0.221572	0.278599	0.281661	
341	-67.623190	0.368546	0.000000	0.104086	0.016932	0.000078	0.876587	0.024581	0.153711	0.213802	0.217012	0.285219	0.283967	
342	-68.659597	0.289162	0.000000	0.056934	0.018439	0.066346	1.190693	0.013188	0.219917	0.221355	0.224985	0.275929	0.277731	
343	-68.257773	2.660011	0.000000	0.698019	0.020060	0.016469	0.381724	0.022514	0.068062	0.227496	0.227816	0.272589	0.272098	
344	-67.978827	0.442832	0.000000	0.121695	0.017017	0.004423	0.278438	0.023350	0.047697	0.217133	0.219418	0.283300	0.280149	
345	-68.597240	0.843089	0.000000	0.229805	0.024767	0.003056	0.218220	0.026513	0.037423	0.223863	0.225155	0.277743	0.273239	
346	-68.478483	0.922077	0.000000	0.248040	0.019958	0.002950	0.537364	0.025705	0.092912	0.208624	0.210329	0.291686	0.289361	
347	-68.081105	1.010849	0.000000	0.268035	0.020296	0.001183	0.762426	0.026648	0.132948	0.215121	0.216477	0.284956	0.283446	
348	-68.335804	0.618037	0.000000	0.166054	0.020822	0.011943	0.385526	0.025316	0.068433	0.221513	0.223319	0.278235	0.276933	
349	-68.620930	4.424035	0.000000	1.175622	0.017681	0.006607	0.596013	0.024276	0.103972	0.217168	0.217419	0.283362	0.282050	
350	-69.331392	1.495760	0.000000	0.385057	0.022247	0.025677	0.251581	0.022634	0.047183	0.229596	0.230163	0.269922	0.270319	
351	-69.343126	0.646832	0.000000	0.180508	0.019956	0.000000	1.466692	0.026861	0.257555	0.216466	0.218433	0.282947	0.282154	
352	-68.748532	0.319993	0.000000	0.084998	0.024744	0.015766	0.108328	0.024267	0.020614	0.231893	0.234478	0.267580	0.266048	
353	-68.294450	0.324249	0.000000	0.073480	0.019885	0.047882	0.514302	0.016764	0.097429	0.218956	0.222852	0.277851	0.280341	
354	-68.289973	0.538201	0.000000	0.134702	0.019686	0.036930	0.405752	0.019941	0.075917	0.218244	0.220543	0.279686	0.281527	
355	-68.575973	0.368306	0.000000	0.105044	0.023221	0.000035	0.941577	0.027774	0.163904	0.221270	0.224776	0.277479	0.276475	
356	-68.543719	0.269692	0.000000	0.055816	0.019802	0.056235	0.890740	0.015415	0.165087	0.213970	0.219292	0.282233	0.284505	
357	-69.659485	0.014441	0.540015	0.028150	0.000000	0.370681	2.752238	0.023685	0.477911	0.260842	0.218735	0.260394	0.260029	
358	-68.763982	1.129966	0.000000	0.300763	0.023905	0.012792	0.504381	0.025621	0.089680	0.227837	0.228679	0.272148	0.271336	
359	-69.069438	0.881145	0.000000	0.238472	0.028762	0.000607	0.844790	0.028617	0.147957	0.225312	0.226775	0.274528	0.273385	
360	-68.019302	0.397500	0.000000	0.104512	0.019017	0.015710	0.158471	0.021970	0.029173	0.203512	0.207951	0.295251	0.293286	
361	-67.772708	1.845716	0.000000	0.498827	0.019214	0.000865	0.414358	0.025643	0.070832	0.203556	0.204463	0.297901	0.294080	
