Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-dep
Summary:                         False
Seed                             2792812647
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     8
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
43	-68.469273	0.783787	0.000000	0.215290	0.029368	0.000353	0.205877	0.027972	0.035628	0.232411	0.233514	0.268920	0.265154	
44	-68.794968	0.650218	0.000000	0.180174	0.023379	0.000000	0.571261	0.026282	0.098848	0.224343	0.226029	0.275624	0.274003	
45	-69.107412	0.889429	0.000000	0.234386	0.026497	0.015385	0.297252	0.023744	0.053315	0.229690	0.230775	0.270174	0.269361	
46	-69.403163	0.576534	0.000000	0.151333	0.135650	0.000000	0.395209	0.077449	0.070677	0.249997	0.249998	0.250003	0.250002	
47	-69.429626	0.053473	0.297188	0.033483	0.000002	0.178813	1.580354	0.019810	0.270946	0.255498	0.226288	0.259106	0.259108	
48	-68.594997	2.079821	0.000000	0.551850	0.022310	0.009654	0.314169	0.024519	0.055634	0.224947	0.225477	0.275547	0.274029	
49	-68.959048	0.906653	0.000000	0.245264	0.024157	0.000000	0.274812	0.028242	0.047088	0.228177	0.229206	0.272974	0.269643	
50	-69.873720	0.235790	0.000000	0.064545	0.202820	0.000014	0.878283	0.116420	0.154087	0.249998	0.250000	0.250001	0.250001	
51	-70.143140	0.000000	3.008796	0.286785	0.718316	1.599665	0.916866	0.561638	0.001568	0.250000	0.250000	0.250000	0.250000	
52	-69.137363	0.350973	0.000001	0.060900	0.016598	0.087915	0.799088	0.009059	0.155561	0.217883	0.221068	0.278373	0.282675	
53	-69.097103	0.023184	0.362694	0.024218	0.000000	0.230344	1.728930	0.020731	0.298213	0.262801	0.210544	0.263562	0.263093	
54	-70.143869	2.429857	1.283438	0.976918	2.250407	0.000975	1.111787	1.446146	0.007634	0.250000	0.250000	0.250000	0.250000	
55	-68.144598	0.255549	0.000000	0.052957	0.018241	0.054588	0.899186	0.014229	0.166269	0.221714	0.225800	0.275379	0.277107	
56	-68.663425	0.206960	0.000000	0.039916	0.021627	0.053177	0.564265	0.015404	0.107789	0.227828	0.232665	0.268736	0.270771	
57	-68.044296	0.387900	0.000000	0.103627	0.014108	0.016995	0.380163	0.021288	0.067395	0.194953	0.199035	0.303332	0.302680	
58	-68.801532	4.183981	0.000000	1.107824	0.021823	0.006046	0.341318	0.025194	0.059772	0.220268	0.220554	0.280792	0.278387	
59	-68.900149	0.361833	0.000000	0.105369	0.017896	0.000000	0.836697	0.025547	0.145313	0.194452	0.199839	0.303858	0.301851	
60	-68.169334	0.542059	0.000000	0.151155	0.018442	0.000000	0.522661	0.025427	0.089891	0.209421	0.212051	0.290539	0.287989	
61	-68.539194	3.483100	0.000000	0.907803	0.023038	0.014863	0.338512	0.023423	0.061509	0.233833	0.234034	0.266354	0.265779	
62	-67.771067	1.474616	0.000000	0.390255	0.018287	0.014336	0.328950	0.021620	0.059197	0.217548	0.218315	0.282550	0.281587	
63	-68.124074	1.233014	0.000000	0.332482	0.016520	0.011839	0.496116	0.023111	0.087800	0.209870	0.210897	0.290220	0.289012	
64	-69.111314	0.632769	0.000000	0.153315	0.021306	0.051287	0.770158	0.016714	0.143153	0.221337	0.223218	0.276836	0.278610	
65	-68.967411	0.874885	0.000000	0.244481	0.025036	0.000000	0.921262	0.026349	0.162990	0.224572	0.225905	0.275258	0.274265	
66	-67.458419	0.573583	0.000000	0.157726	0.016107	0.000026	0.382017	0.023128	0.065869	0.219489	0.221147	0.280855	0.278508	
67	-67.773764	0.007835	0.000000	0.007741	0.015827	0.018820	0.621385	0.020891	0.110787	0.107698	0.260669	0.319851	0.311782	
68	-68.742019	0.544802	0.000002	0.131805	0.020652	0.047719	1.164394	0.016662	0.211337	0.222176	0.224269	0.276285	0.277270	
69	-69.405394	0.063691	0.490075	0.034242	0.000000	0.330651	1.417137	0.018922	0.243001	0.252614	0.239597	0.253852	0.253937	
70	-68.587664	0.514400	0.000000	0.143329	0.023535	0.000000	1.191102	0.026746	0.207878	0.234915	0.236188	0.264673	0.264224	
71	-68.770137	0.405092	0.000000	0.078786	0.020085	0.084533	1.139803	0.009985	0.213598	0.228501	0.230568	0.269445	0.271486	
72	-68.619138	0.454061	0.000000	0.126584	0.020925	0.000000	0.567094	0.025389	0.097506	0.234953	0.236211	0.264880	0.263956	
73	-69.419497	0.032879	0.000000	0.016367	0.141521	0.000000	0.833029	0.085609	0.148604	0.261097	0.249388	0.244543	0.244971	
74	-69.456846	0.188511	0.000000	0.052191	0.130911	0.000000	0.933244	0.076363	0.163647	0.249980	0.249997	0.250012	0.250011	
75	-69.421343	1.861669	0.000000	0.496691	0.019954	0.000000	1.057923	0.025965	0.185426	0.223121	0.223657	0.277069	0.276153	
76	-69.588540	1.511000	0.000000	0.405126	0.019571	0.000000	2.125172	0.024679	0.373836	0.218236	0.219021	0.281616	0.281127	
77	-68.925265	0.247366	0.000000	0.074454	0.018681	0.000000	1.275338	0.025131	0.224161	0.215444	0.220544	0.282390	0.281622	
78	-68.234221	0.522449	0.000000	0.145108	0.018059	0.000000	0.439105	0.024498	0.076435	0.217949	0.220043	0.282173	0.279836	
79	-67.957597	1.128352	0.000000	0.304770	0.018463	0.000000	0.536250	0.025214	0.093558	0.211530	0.212755	0.289017	0.286698	
80	-68.004574	0.589011	0.000002	0.168479	0.018133	0.000000	1.004181	0.025174	0.172464	0.203452	0.206249	0.295866	0.294432	
81	-68.694383	0.566023	0.000000	0.158079	0.018444	0.000000	0.408759	0.024646	0.070312	0.207271	0.209971	0.292992	0.289767	
82	-68.735157	0.313802	0.000000	0.091051	0.018048	0.000000	0.481680	0.024240	0.083039	0.206483	0.211397	0.292337	0.289783	
83	-67.216313	0.353697	0.000000	0.100411	0.015995	0.000000	0.357760	0.024301	0.061011	0.201937	0.206205	0.297895	0.293964	
84	-69.592919	0.413264	0.000000	0.109222	0.138678	0.000000	0.557413	0.078474	0.098463	0.249998	0.249999	0.250001	0.250001	
85	-69.339241	0.311492	0.000000	0.091223	0.023282	0.000000	1.097769	0.024871	0.191497	0.227267	0.230675	0.271302	0.270756	
